Taylor Swift,1850
Kylie Jenner,1700
Kanye West,1500
Lionel Messi,1270
Ed Sheeran,1100
Cristiano Ronaldo,1090
Neymar,1050
The Eagles,1000
Dr. Phil McGraw,950
Canelo Alvarez,940
Roger Federer,934
Howard Stern,930
J.K. Rowling,920
Russell Wilson,895
Dwayne Johnson,894
Aaron Rodgers,893
LeBron James,890
Rush Limbaugh,870
Elton John,840
Jay-Z,810
Beyonce Knowles,810
Ellen DeGeneres,805
Stephen Curry,798
Chris Hemsworth,764
Drake,750
Kim Kardashian,720
Ryan Seacrest,715
Sean (Diddy) Combs,700
James Patterson,700
Metallica,685
Robert Downey Jr.,660
Kevin Durant,654
Akshay Kumar,650
Tiger Woods,639
Gordon Ramsay,630
Rihanna,620
David Copperfield,600
Kevin Hart,590
Jackie Chan,580
Travis Scott,580
Katy Perry,575
Justin Timberlake,575
BTS,570
Bradley Cooper,570
Pink,570
Adam Sandler,570
Scarlett Johansson,560
Ben Roethlisberger,555
Lewis Hamilton,550
Anthony Joshua,550
Khalil Mack,550
Russell Westbrook,537
Billy Joel,520
Bruno Mars,515
Novak Djokovic,506
Mike Trout,506
Jimmy Buffett,500
Eminem,500
Fleetwood Mac,490
Judy Sheindlin,490
Khalil Mack,550
Russell Westbrook,537
Billy Joel,520
Bruno Mars,515
Novak Djokovic,506
Mike Trout,506
Jimmy Buffett,500
Eminem,500
Fleetwood Mac,490
Judy Sheindlin,490
Phil Mickelson,484
Ariana Grande,480
Paul McCartney,480
James Harden,477
Conor McGregor,470
DeMarcus Lawrence,469
Sean Hannity,460
The Chainsmokers,460
Steve Harvey,450
Bryce Harper,445
Guns N' Roses,440
Chris Paul,438
Chris Evans,435
Kyrie Irving,433
Giannis Antetokounmpo,432
Jennifer Lopez,430
Sofia Vergara,430
Luke Bryan,425
Drew Brees,424
Simon Cowell,420
Aaron Donald,414
Damian Lillard,411
Paul Rudd,410
Jerry Seinfeld,410
Rolling Stones,410
Sebastian Vettel,403
DJ Khaled,400
Marshmello,400
The Weeknd,400
Lady Gaga,395
Blake Griffin,391
Dave Matthews Band,390
Rory McIlroy,390
Paul George,386
Zac Brown Band,385
Calvin Harris,385
Kendrick Lamar,385
Brandin Cooks,380
Shawn Mendes,380
Celine Dion,375
